"VCF0004","VCF0101","VCF0102","VCF0103","VCF0104","VCF0106A","VCF0110","VCF0111","VCF0112","VCF0113","VCF0114","VCF0115","VCF0116","VCF0118","VCF0127","VCF0128B","VCF0138","VCF0142","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148A","VCF0149","VCF0150","VCF0151","VCF0152","VCF0154B","VCF0702","VCF0704","VCF0704A","VCF0705","VCF0706","VCF0707","VCF0708","VCF9001","VCF9002","VCF9009","VCF9013","VCF9014","VCF9015","VCF9016","VCF9017","VCF9018","VCF9026","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030A","VCF9030B","VCF9030C","VCF9031","VCF9032","VCF9035","VCF9036","VCF9037","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9048","VCF9049","VCF9055"
1990,76,7,5,2,1,2,2,2,2,2,2,5,3,2,0,0,121,1,1,5,4,4,1,50,2,270,5,1,NA,NA,NA,NA,2,1,10,3,2,1,3,5,4,1,5,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,1,1,1,4,3,2,2,12
1990,75,7,5,2,1,3,2,2,2,4,3,5,3,2,0,0,121,1,1,1,6,6,2,50,3,230,8,1,NA,NA,NA,NA,2,2,5,2,5,1,5,5,4,2,4,NA,1,NA,NA,3,1,1,1,5,NA,7,8,NA,4,1,2,4,1,3,1,12
1990,82,7,6,2,1,2,2,2,2,3,3,5,3,1,1,0,121,5,1,1,4,4,1,50,3,149,8,1,NA,NA,NA,NA,2,2,4,1,1,2,1,3,2,1,1,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,2,1,4,2,3,2,1,12
1990,83,7,6,2,1,1,3,3,1,1,3,5,3,2,1,0,154,1,1,5,1,1,4,50,3,292,11,2,NA,NA,NA,NA,NA,NA,90,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,2,2,12
1990,68,6,5,2,1,1,3,3,1,2,3,5,3,1,1,1,154,1,1,1,1,1,4,50,3,124,11,2,NA,NA,NA,NA,NA,NA,0,1,5,1,3,3,3,1,1,NA,NA,NA,NA,7,2,2,2,5,NA,0,8,NA,2,2,2,2,3,3,1,12
1990,35,3,3,1,1,4,3,3,1,2,3,1,1,2,7,1,151,1,2,1,4,4,1,10,3,NA,12,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,1,2,NA,NA,NA,NA,NA,1,2,2,12
1990,74,6,5,2,1,2,3,3,1,2,6,7,4,2,0,0,154,1,1,5,4,4,2,70,6,150,NA,2,NA,NA,NA,NA,NA,NA,30,5,2,1,2,4,4,2,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,3,2,2,3,3,1,1,12
1990,26,2,2,2,1,2,2,2,2,4,6,7,4,2,3,1,156,1,2,1,1,1,3,70,3,400,NA,1,NA,NA,NA,NA,1,NA,3,5,2,2,3,3,2,3,4,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,3,2,3,4,3,1,2,81
1990,80,7,5,2,1,3,2,2,2,1,6,7,4,2,0,0,124,1,1,5,1,1,3,70,6,270,NA,2,NA,NA,NA,NA,NA,NA,60,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,2,1,81
1990,32,2,2,2,4,2,1,1,2,1,6,7,4,2,7,4,124,1,2,1,1,1,4,70,6,NA,NA,2,NA,NA,NA,NA,NA,NA,0,1,4,1,2,5,3,3,3,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,5,1,1,4,3,2,1,85
